growth.form,pos.arg,neg.arg
encrusting,encrusting,NA
massive,massive|fascicu,sub
submassive,submassive|phaceloid,NA
branching_open,arbor|staghorn|branching|thin|thick|blade,bush|bottle|caespitose|thicket|hispidose|hyspidose
corymbose,corymbose,NA
branching_closed,bush|bottle|caespitose|thicket,NA
table_plate,table|plate|sheet,NA
digitate,digit|clump,NA
laminar,laminar|whorl,NA
columnar,column|cuneiform|club|vase|frond|organ|pipe,NA
solitary,solitary,NA
hispidose,hispidose|hyspidose,NA
unknown,unknown|wrong|no photo|missing,NA
